…(money) worth of sth.  ……价值……(接数词) 
work at sp.  在……工作 
work on sth.  进行……工作 
worry about  担心 
worse still  更糟糕的是 
would like sb. to do  想让某人去做 
would prefer to do than do  与其做某事不如做某事 
would rather sb. did…  更愿意让某人做…… 
would rather to do than do  与其做某事不如做某事 
write articles for sth.  给……写文章 
write articles on (many subjects)  写有关(许多学科)的文章 
write down  写下、记下 
write sth. for a newspaper  给报纸写文章 
year after year  年复一年(不变) 
year by year  逐年(有变化) 
You'd better do sth.  你最好做……。 
You've got to.  你非做不可。

